n     time
10000 0
30000 0.0008
50000 0
70000 0
90000 0.0008
110000 0.0008
130000 0.0008
150000 0.0008
170000 0.0008
190000 0.0008
210000 0.0008
230000 0.0016
250000 0.0008
270000 0.0016
290000 0.0016
310000 0.0016
330000 0.0016
350000 0.0016
370000 0.0016
390000 0.0016
410000 0.0024
430000 0.0016
450000 0.0016
470000 0.0024
490000 0.0024
510000 0.0024
530000 0.0024
550000 0.0024
570000 0.0024
590000 0.0032
610000 0.0024
630000 0.0032
650000 0.0032
670000 0.0032
690000 0.0032
710000 0.004
730000 0.0032
750000 0.0032
770000 0.004
790000 0.004
810000 0.0032
830000 0.0032
850000 0.0032
870000 0.004
890000 0.004
910000 0.004
930000 0.004
950000 0.004
970000 0.004
990000 0.004
